airy	3	423	334	368	2.0	0.31	10.28
aisle	2	503	509	528	2.0	7.43	5.95
ajar	3	0	0	0	2.0	0.45	9.67
akimbo	6	0	0	0	3.0	0.08	14.09
akin	4	0	0	0	2.0	0.27	12.67
alabaster	8	0	0	0	4.0	0.67	13.67
alacrity	8	245	269	189	4.0	0.10	15.25
alarm	4	0	0	0	2.0	29.84	6.39
alarming	0	0	0	0	3.0	1.14	9.78
alarmist	7	0	0	0	3.0	0.33	13.12
alarum	6	0	0	0	3.0	0.06	12.38
alas	4	0	0	0	2.0	3.82	9.78
albacore	0	0	0	0	3.0	0.16	14.47
albatross	8	309	621	583	3.0	0.78	11.64
albinism	9	0	0	0	3.0	0.04	14.17
albino	6	0	0	0	3.0	1.16	9.79
album	5	0	0	0	2.0	10.24	6.72
albumen	8	0	0	0	3.0	0.01	15.45
albumin	8	217	415	352	3.0	0.08	14.20
alcalde	0	0	0	0	2.0	0.27	11.00
alchemical	9	0	0	0	4.0	0.12	15.64
alchemist	8	262	462	394	3.0	0.27	12.00
alchemy	6	0	0	0	3.0	0.22	13.35
alcohol	7	578	618	598	3.0	16.57	9.00
alcoholic	9	0	0	0	4.0	6.20	9.95
alcoholism	11	0	0	0	4.0	0.84	11.60
alcove	5	0	0	0	2.0	0.47	12.11
alder	4	0	0	0	2.0	0.10	14.08
alderman	7	0	0	0	3.0	0.80	14.19
ale	2	454	578	526	2.0	3.96	10.16
alehouse	5	0	0	0	3.0	0.02	13.76
alert	4	528	400	428	2.0	20.61	8.90
alertness	0	0	0	0	3.0	0.08	9.44
alexandrine	11	0	0	0	4.0	0.14	14.17
alfalfa	0	0	0	0	3.0	0.65	8.83
alfresco	8	0	0	0	3.0	0.14	15.29
alga	4	0	0	0	2.0	0.01	13.33
algebra	7	483	453	510	3.0	1.76	11.47
algebraic	9	0	0	0	3.0	0.06	11.11
algorithm	0	0	0	0	3.0	0.53	14.56
alias	5	384	232	294	2.0	4.08	9.47
